Title,Title_link,Texts,Likes,Comments
#USMCFS24935,https://www.facebook.com/hashtag/usmcfs24935?__eep__=6&__cft__[0]=AZWyrTDkOEJfIb94M_WxsT2yaSRMiOdvFLGEAtNstd7FzXbylWZVAfB8Z8BR9jRif4vwxPK-KT93mqLJoKuRfHrgsdHlzRTlxYPQcAWQ64GYYIwrrfaGO69mkLFEM9dOlF8DHMFq9SeO-bmEP0OZVTJv&__tn__=*NK-R,,1,
#USMCFS24938,https://www.facebook.com/hashtag/usmcfs24938?__eep__=6&__cft__[0]=AZVO030h4UCb6YPW_BQ5PWHVQiLTJ-GnuZn5CYeu9qFXr61PGOwSoqkN68BTU252YxJvSlsg8aOB1IY_g2uBlj54QE8Wjhc9X9eG2b4z_78X9VdZ1WZpEp8EAhUwQ3BnCA7i1jqU6GV-t3yC8h9OVlHN&__tn__=*NK-R,"I really hope USM authorities don't hurt this page, as I sincerely feel that our fellow admins totally deserved to be our virtual MPP, as we got no way to reach or approach our official MPP.",62,"Top FanAdam TanBruh, I don't think they can even if they try"
#USMCFS24941,https://www.facebook.com/hashtag/usmcfs24941?__eep__=6&__cft__[0]=AZUTxF21-S6ZzPOzFlrP_DomVAPHdljwJ3gjAWmgUsXKNyZpnYI2y4_tBEEq4iOOPzoTTR1vR9drGtomj0RE5vIJpUfvJkLHH8Klx6-AjiZULQhoAfE_dTJGgdddWrwarJ5-mULvig-qKqDkvf_ykR2G&__tn__=*NK-R,I know it's hard time we going through but yet still has been desire for 2020 to get their convocation done. Is it impossible to have batch 2020 convo and 2021 this year maybe mpp can answer this question.,,
#USMCFS24943,https://www.facebook.com/hashtag/usmcfs24943?__eep__=6&__cft__[0]=AZWiM4aAaDYzwu8_0KfwHvyz3GKFN9KDbXcJMOIReSEyGK9O9iu18CsPcBxea2MzLcID7JXYJZPgBkgzxuPQ8fRBz9wpfG82CPdu-vIHNv7FK19A6p2RNKOJMh2F1GLG8nl773pSi21fKPP69ievlGDb&__tn__=*NK-R,"The only thing we need right now is Apology Statement from S**j*na management itself. No point of other organisation apologizing for things they didn't do. We need the oppressors to apologize for what they did to the other innocent residents. Yes, students at fault should be punished accordingly but, what about the other students' privacy that were compromised that night? How will Saujana make sure that this won't happen again (since this is not their first case… See More",35,
#USMCFS24946,https://www.facebook.com/hashtag/usmcfs24946?__eep__=6&__cft__[0]=AZV64aZWe32XY--S03AC0DH0sfrxo9utPILKNTuPNzwe4eet_zLQ4S4z-aRIlibcFk8Ruv6XlRQbfz41692JfLEIzLvq-CO7bsPTwfPhuKSZYYsOyM8-BsrXIkuZk_Wg6grYRZQau0WFEmEz9G8GFvhS&__tn__=*NK-R,USM WE ALWAYS LEAD,33,
#USMCFS24949,https://www.facebook.com/hashtag/usmcfs24949?__eep__=6&__cft__[0]=AZWHXKnOwxiNawR29eVog-16xh6PomPjzkJW21CnDUbMCUXmQTT2xaBZIaWmf2n5NM8q2clHaw1ie70L94gkFgfFLBXsoFDVx-_gG2AgPhRuXxUSDGS6nnKxHPFniMHDNyT5Io2d6WynFg2iLfzNH_HD&__tn__=*NK-R,"Is it wrong for me to think ""why have kids when ur not financially capable of providing for them?"" everytime i see parents unable to give kids especially newborns milk and food..... And also at those poor countries why are u guys having kids.... Am i missing some information... I always keep this to myself whenever i hear or see about it since it feels wrong to tell it out loud and it even feels wrong to think that way.... But why is it wrong?",67,
#USMCFS24969,https://www.facebook.com/hashtag/usmcfs24969?__eep__=6&__cft__[0]=AZV8ba6bDTvC1I-vQjpYyR0TilAwhCu33xoc_PpqV3uC5MfaXFUhKOtE1Y6t1ljgulKkNB9l_dU4CFMbgbIau6f88TI-ksLgOZi1wHvbPPByG8pHzIy1_wktiWv1dQdmkib3L-y3StoPI4j0E6IdMuh6&__tn__=*NK-R,#USMCFS24944,17,0 Comments
#USMCFS24971,https://www.facebook.com/hashtag/usmcfs24971?__eep__=6&__cft__[0]=AZWFCVbO9D8ksOSTShzwwwEy1qU6aJB8Jzcs0C8luU3QUENVyWO26RhH1SXt9BWEK01-J_w-mDPXoVcNIOf6An7BDzdykRihFuPV3QAQKdnNtv1_mUFk36UN_jsFGzMatwD_fERYGpPafUxeBSll65TA&__tn__=*NK-R,WF !!!!,3,0 Comments
#USMCFS24972,https://www.facebook.com/hashtag/usmcfs24972?__eep__=6&__cft__[0]=AZUEdvpUN9XzyaGyQVES27ET9hedaVKIZPcw7SVCD7XibLYUvc8PNLF22Pb0HjtTKI6ytw3JA7FCkCdWG0xJpVPjgwZ0BPK3C12j3SJrkKXDilR8JXe5K_LlQx73Iewx9Klk7NwXT1WdD6vBa0-Svx2U&__tn__=*NK-R,你以为你长得好看 成绩好就很了不起是吗？,41,1 Comment
#USMCFS24975,https://www.facebook.com/hashtag/usmcfs24975?__eep__=6&__cft__[0]=AZVoMLp9TvC8of1c8rJRYbe1_vifDyKk1b-e0pq6V6esEQzs2OezYXVdOfMLYDVtLKJh2zcL9KceQ9G-IL54lzxdgIq_DWsZlpc2eOVMrLU4vFAJf378q_7HKzfOEKyrAXE4fzWQQYdZQnPBsIbBLrOn&__tn__=*NK-R,"QUESTION STUDY INVESTIGATION OF FALSAFAH COURSE AND CURRENT ISSUE,· See original  · Rate this translation",,
